"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1711323,"June 20, 2020",Michigan,Detroit,"Alcoy Ave and Park Grove St",0,0,N/A
1711321,"June 20, 2020",California,Sanger,"10th St and Faller Ave",0,1,N/A
1711319,"June 20, 2020",Michigan,Detroit,"15400 block of Troester Ave",0,1,N/A
1711317,"June 20, 2020",Missouri,"Saint Louis","I-55 and I-44",0,1,N/A
1711367,"June 20, 2020",Illinois,Chicago,"200 block of N Central Ave",1,1,N/A
1711315,"June 20, 2020",Michigan,Detroit,"Livernois and Floyd Ave",1,0,N/A
1711364,"June 20, 2020",Illinois,Chicago,"1900 block of N Western",1,1,N/A
1711061,"June 20, 2020",Texas,Waco,"1101 N Valley Mills Dr",1,0,N/A
1712200,"June 20, 2020","New York",Syracuse,"1300 block of S State St",0,1,N/A
1712198,"June 20, 2020","New York",Syracuse,"100 block of Stewart Ct",0,1,N/A
1712194,"June 20, 2020","New York",Syracuse,"2826 S Salina St",0,1,N/A
1711301,"June 20, 2020",Texas,Midlothian,"400 N US-67",1,0,N/A
1711304,"June 20, 2020",Michigan,Kalamazoo,"500 block of N Berkley St",0,1,N/A
1711299,"June 20, 2020",California,"San Diego","6100 block of Decena Dr",0,1,N/A
1711037,"June 20, 2020",Texas,Beaumont,"500 Franklin St",1,0,N/A
1711297,"June 20, 2020",Utah,"Salt Lake City","160 E 200 S",0,1,N/A
1712728,"June 20, 2020",Missouri,"Saint Louis","4600 block of Virginia Blvd",1,1,N/A
1711277,"June 20, 2020",Missouri,Florissant,"Del Lago Dr and New Halls Ferry Rd",0,2,N/A
1710646,"June 20, 2020",Arizona,Phoenix,"3845 E University Dr",1,1,N/A
1711261,"June 20, 2020",Missouri,Columbia,"500 block of Scott Blvd",0,2,N/A
1712178,"June 20, 2020","New York",Poughkeepsie,"Cottage St",0,2,N/A
1711251,"June 20, 2020","New York","Corona (Queens)","Beach 40th St and Beach Channel Dr",0,0,N/A
1711248,"June 20, 2020",Texas,Houston,"9500 block of Woodfair Dr",0,1,N/A
1711236,"June 20, 2020",Texas,Houston,"9500 block of Long Point Rd",0,1,N/A
1710693,"June 20, 2020",Michigan,Detroit,"19200 block of Mapleview St",0,2,N/A
1711230,"June 20, 2020","New York",Bronx,"820 Thieriot Ave",0,0,N/A
1711228,"June 20, 2020",Tennessee,Memphis,"1351 Madison Ave",1,0,N/A
1711204,"June 20, 2020","New York",Buffalo,"50 block of Langmeyer Ave",0,1,N/A
1710450,"June 20, 2020",Texas,Austin,"3800 block of Alexandria Dr",1,0,N/A
1711202,"June 20, 2020","New York",Buffalo,"300 block of Mortimer St",0,1,N/A
1712158,"June 20, 2020",Arkansas,Benton,"N 4th St",1,0,N/A
1715993,"June 20, 2020",Virginia,Richmond,"1800 W Broad St",0,0,N/A
1711200,"June 20, 2020","New York",Schenectady,"510 Broadway",0,0,N/A
1710910,"June 20, 2020","New York",Albany,"Grand St and Elm St",0,1,N/A
1711017,"June 20, 2020",Tennessee,Chattanooga,"7700 block of Wimberly Dr",0,1,N/A
1712940,"June 20, 2020",Virginia,Dillwyn,"300 block of Petersville Church Rd",1,0,N/A
1711045,"June 20, 2020",Virginia,Norfolk,"1590 N Military Hwy",1,1,N/A
1711051,"June 20, 2020",Virginia,Portsmouth,"1100 block of Virginia Ave",0,1,N/A
1713295,"June 20, 2020",Michigan,Kalamazoo,"Cadillac St and Hawley St",0,0,N/A
1713287,"June 20, 2020",Pennsylvania,Philadelphia,"700 block of E Cornwall St",0,0,N/A
1711175,"June 20, 2020",Michigan,Detroit,"14900 block of Mark Twain St",1,0,N/A
1713284,"June 20, 2020",Michigan,Kalamazoo,"1100 block of Cadillac St",0,0,N/A
1713281,"June 20, 2020",Pennsylvania,Philadelphia,"1300 block of E Luzerne St",0,2,N/A
1711234,"June 20, 2020","New York",Bronx,"E Burnside Ave and Jerome Ave",0,1,N/A
1713276,"June 20, 2020",Michigan,Kalamazoo,"1300 block of N Burdick St",0,0,N/A
1712143,"June 20, 2020",Ohio,Lima,"1200 block of Virginia Ave",1,0,N/A
1710537,"June 20, 2020","New York",Bronx,"Mount Eden Pkwy and Monroe Ave",0,4,N/A
1711015,"June 20, 2020","New York",Brooklyn,"334 Milford St",1,0,N/A
1711008,"June 20, 2020","New York","New York (Manhattan)","635 E 12th St",1,0,N/A
1710544,"June 20, 2020","New York","New York (Manhattan)","Academy St and Nagle Ave",0,1,N/A
1711687,"June 20, 2020",Pennsylvania,York,"500 block of W Market St",0,1,N/A
1711147,"June 20, 2020","New York",Bronx,"E 168th St and Forest Ave",0,1,N/A
1712997,"June 20, 2020",Kentucky,Salyersville,"Roanne Rd",1,0,N/A
1711144,"June 20, 2020","New York",Bronx,"1702 Underhill Aven",0,1,N/A
1711123,"June 20, 2020",Kentucky,Lexington,"Corral St",0,3,N/A
1711072,"June 20, 2020","New York",Bronx,"Alexander Ave",0,1,N/A
1712173,"June 20, 2020","New York",Poughkeepsie,"N Bridge St and Charles St",1,0,N/A
1711224,"June 20, 2020","New York",Brooklyn,"138 Cumberland Walk",0,1,N/A
1711103,"June 20, 2020",Illinois,Peoria,"1600 block of N New York Ave",0,1,N/A
1712028,"June 20, 2020",Hawaii,Honolulu,N/A,0,1,N/A
1712036,"June 20, 2020",Hawaii,Honolulu,"Ward Ave and Queen St",0,0,N/A
1711244,"June 20, 2020","New York","New York (Manhattan)","E 101st St and 3rd Ave",0,1,N/A
1710650,"June 20, 2020",Texas,Tyler,"7205 S Broadway Ave",0,1,N/A
1711285,"June 20, 2020","New York",Syracuse,"Marcellus St and Wyoming St",0,9,N/A
1711908,"June 20, 2020",Texas,Dallas,"W Davis St and N Justin Ave",1,0,N/A
1711876,"June 20, 2020",Michigan,Detroit,"Appoline St and Puritan Ave",0,4,N/A
1711177,"June 20, 2020",California,Anaheim,"926 S Magnolia Ave",1,0,N/A
1711107,"June 20, 2020",Illinois,Peoria,"W Brons Ave and N Sheridan Rd",0,1,N/A
1711954,"June 20, 2020",Michigan,Detroit,"10000 block of Gratiot Ave",0,1,N/A
1711968,"June 20, 2020",Michigan,Detroit,"12000 block of Cheyenne St",0,1,N/A
1711982,"June 20, 2020",Tennessee,Memphis,I-40,0,0,N/A
1711977,"June 20, 2020",Michigan,Inkster,"30226 Carlysle St",0,1,N/A
1711004,"June 20, 2020",Tennessee,Memphis,"1632 Ellsworth St",1,0,N/A
1713145,"June 20, 2020",Michigan,Lansing,"400 Moores River Dr",0,1,N/A
1711961,"June 20, 2020","North Carolina",Charlotte,"1900 Milton Rd",0,1,N/A
1711938,"June 20, 2020",Michigan,Detroit,"8000 block of Livernois Ave",0,1,N/A
1711068,"June 20, 2020","New York",Bronx,"Taylor Avenue and Archer St",0,1,N/A
1710533,"June 20, 2020","New York","Corona (Queens)","40-07 10th St",0,1,N/A
1711867,"June 20, 2020",Michigan,Detroit,"19600 block of Lumpkin",0,2,N/A
1711043,"June 20, 2020",Illinois,Chicago,"2800 block of St. Louis Ave",0,1,N/A
1710938,"June 20, 2020",Maryland,Hyattsville,"7100 block of Columbia Park Rd",1,0,N/A
1714673,"June 20, 2020",Virginia,Roanoke,"2500 block of Edinburgh Dr NW",0,0,N/A
1711019,"June 20, 2020",Kentucky,Ashland,"Blazer Blvd",0,1,N/A
1711848,"June 20, 2020",Texas,Dallas,"717 Ann Arbor Ave",1,0,N/A
1711206,"June 20, 2020",Texas,"San Antonio","4451 Walzem Rd",0,1,N/A
1714657,"June 20, 2020",California,"San Bernardino","2700 block of N Del Rosa Ave",1,0,N/A
1711837,"June 20, 2020","South Carolina","North Myrtle Beach (Atlantic Beach)","300 30th Ave S",0,1,N/A
1710999,"June 20, 2020",Mississippi,Jackson,"Sunset Dr",1,0,N/A
1711295,"June 20, 2020","New York",Albany,"N Lake Ave and First St",1,1,N/A
1710638,"June 20, 2020",Texas,"Sugar Land","13500 block of Schuman Trl",0,1,N/A
1711945,"June 20, 2020","North Carolina",Gastonia,"2400 block of Fairview Dr",1,0,N/A
1713071,"June 20, 2020",Wisconsin,Milwaukee,"2900 block of West Highland Blvd",0,1,N/A
1711272,"June 20, 2020",Michigan,Saginaw,"Livingston Dr and Tausend St",1,3,N/A
1711789,"June 20, 2020",Ohio,Cleveland,"W 93rd St and Madison Ave",0,1,N/A
