"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1707673,"June 16, 2020",Minnesota,Minneapolis,"1100 block of 21st Ave",0,3,N/A
1707161,"June 16, 2020",Tennessee,Chattanooga,"200 block of Tunnel Blvd",0,1,N/A
1708380,"June 16, 2020",Louisiana,Shreveport,"1500 block of Parker St",0,0,N/A
1707503,"June 16, 2020",Kentucky,Lexington,"1167 Atiya Pl",1,0,N/A
1709678,"June 16, 2020",Texas,Keller,"500 block of Manchester Ct",1,0,N/A
1707480,"June 16, 2020",Michigan,Detroit,"Prest St and Chalfonte St",0,1,N/A
1707467,"June 16, 2020",Michigan,Dearborn,N/A,0,1,N/A
1712189,"June 16, 2020",California,Ontario,I-10,0,1,N/A
1708359,"June 16, 2020",Nebraska,Omaha,"N 52nd St and Ames Ave",0,1,N/A
1708082,"June 16, 2020",Minnesota,Minneapolis,"E Lake St and Oakland Ave",0,1,N/A
1707441,"June 16, 2020",Michigan,Kalamazoo,"800 block of Woodbury Ave",0,2,N/A
1707375,"June 16, 2020",Kentucky,Louisville,"2500 block of Magazine St",0,2,N/A
1707419,"June 16, 2020",Louisiana,"New Orleans","Desire Pkwy and Pleasure St",0,1,N/A
1706983,"June 16, 2020",Kentucky,Stanford,"137 Edgewood Dr",0,0,N/A
1707405,"June 16, 2020",Louisiana,"New Orleans","S Claiborne Ave and Toledano St",0,3,N/A
1706813,"June 16, 2020",Minnesota,Minneapolis,"N 21st Ave and Irving Ave N",0,1,N/A
1707387,"June 16, 2020",Illinois,Freeport,"S Oak Ave and W John St",0,0,N/A
1706793,"June 16, 2020","New York",Bronx,"Simpson St and Westchester Ave",0,1,N/A
1707323,"June 16, 2020",Michigan,"Battle Creek","158 W Rittenhouse Ave",2,0,N/A
1708295,"June 16, 2020",Missouri,Springfield,"1532 N Golden Ave",2,0,N/A
1707350,"June 16, 2020",Illinois,Peoria,"3600 block of W Hedgehill Ln",0,2,N/A
1707341,"June 16, 2020","South Carolina",Florence,"516 E Palmetto St",0,2,N/A
1709154,"June 16, 2020",Texas,"San Antonio","100 block of N WW White Rd",0,1,N/A
1707158,"June 16, 2020",Tennessee,Nashville,"1700 block of Simpkins St",0,1,N/A
1708291,"June 16, 2020",Kentucky,Louisville,"10500 block of Chariot Run Ct",0,1,N/A
1709147,"June 16, 2020",Texas,"San Antonio","1300 block of San Luis",0,1,N/A
1707332,"June 16, 2020",Texas,Dallas,"13350 Dallas Pkwy",0,1,N/A
1707285,"June 16, 2020",Florida,"Orlando (Belle Isle)","2905 McCoy Rd",0,1,N/A
1708392,"June 16, 2020",Minnesota,Minneapolis,"38th St and Chicago Ave",0,2,N/A
1708389,"June 16, 2020",Minnesota,Minneapolis,"600 block of W Broadway Ave",0,2,N/A
1707274,"June 16, 2020",Alabama,Birmingham,"10 block of Ave W",1,0,N/A
1707266,"June 16, 2020","New York",Rochester,"N Clinton Ave and Laforce St",0,1,N/A
1707585,"June 16, 2020",Minnesota,"Minneapolis (Bloomington)","8911 Penn Ave S",0,1,N/A
1707463,"June 16, 2020",Michigan,Detroit,"4400 block of Sharon St",1,0,N/A
1708257,"June 16, 2020",Wisconsin,"Oak Creek","Drexel Ave and Howell Ave",0,1,N/A
1708230,"June 16, 2020",California,Oakland,"500 block of 62nd St",0,1,N/A
1708228,"June 16, 2020",California,Oakland,"1800 block of Wood St",0,1,N/A
1708224,"June 16, 2020",California,Delano,"Albant St",0,1,N/A
1708222,"June 16, 2020",California,Delano,"1600 block of Ellington St",1,0,N/A
1708220,"June 16, 2020","New York",Albany,"Sheridan Ave",0,1,N/A
1711828,"June 16, 2020",Ohio,Ashtabula,"200 block of Burrows Pl",0,0,N/A
1711821,"June 16, 2020",Ohio,Ashtabula,"3208 Glover Dr",0,0,N/A
1707201,"June 16, 2020",Oregon,Molalla,"514 W Main St",0,0,N/A
1711811,"June 16, 2020",Illinois,"Homer Glen","W Shellbark Dr",0,0,N/A
1708181,"June 16, 2020",Iowa,"Des Moines",N/A,0,1,N/A
1708180,"June 16, 2020","New York",Brooklyn,"500 Park Pl",0,0,N/A
1708178,"June 16, 2020","New York",Brooklyn,"537 Gates Ave",0,1,N/A
1707174,"June 16, 2020","New York",Brooklyn,"S 5th St and Marcy Ave",0,1,N/A
1707172,"June 16, 2020","New York","New York (Manhattan)","691 FDR Dr",0,1,N/A
1707171,"June 16, 2020","New York",Brooklyn,"566 Quincy St",0,0,N/A
1707136,"June 16, 2020","District of Columbia",Washington,"3800 block of Minnesota Ave NE",0,1,N/A
1708989,"June 16, 2020",Florida,Holiday,N/A,1,0,N/A
1707760,"June 16, 2020",Florida,Pensacola,"7800 block of Aaron Dr",0,1,N/A
1707147,"June 16, 2020",Connecticut,"New Haven","Shelton Ave and Hazel St",0,1,N/A
1708959,"June 16, 2020",Illinois,Rockford,"3552 Elm St",0,0,N/A
1709889,"June 16, 2020",California,Oxnard,"300 block of West Clara St",0,1,N/A
1707703,"June 16, 2020",Massachusetts,Springfield,"Horace St and Orange St",1,0,N/A
1707145,"June 16, 2020",Connecticut,"New Haven","Batter Ter",0,1,N/A
1708053,"June 16, 2020",Michigan,Detroit,"12800 block of Mettetal St",1,0,N/A
1708149,"June 16, 2020","North Carolina",Durham,"2800 block of Courtney Creek Blvd",0,1,N/A
1711710,"June 16, 2020",Iowa,Burlington,"1605 N Roosevelt Ave",0,0,N/A
1714323,"June 16, 2020","North Carolina",Charlotte,"2400 block of Julia Ave",0,1,N/A
