"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1693725,"May 26, 2020",Texas,Bryan,"2700 block of Colony Vista Ct",0,0,N/A
1689210,"May 26, 2020",California,Jamestown,"10260 Preston Ln",1,0,N/A
1690256,"May 26, 2020",Illinois,Harvey,"300 block of E 148th Pl",1,0,N/A
1689224,"May 26, 2020",California,Sacramento,"Center Pkwy",0,1,N/A
1690247,"May 26, 2020",Michigan,Adrian,"500 block of French St",0,1,N/A
1693710,"May 26, 2020",Texas,Denton,"905 Cleveland St",0,0,N/A
1690241,"May 26, 2020",Illinois,Peoria,"Knoxville Ave and E Arcadia Ave",0,1,N/A
1690240,"May 26, 2020",Mississippi,Vicksburg,"3300 block of Drummond St",0,0,N/A
1689764,"May 26, 2020",Illinois,Chicago,"3900 block of W 19th St",0,1,N/A
1693693,"May 26, 2020",Texas,Denton,"1900 block of N Ruddell St",0,1,N/A
1689205,"May 26, 2020",Mississippi,Booneville,"S Bryant St",1,0,N/A
1689077,"May 26, 2020",Michigan,Flint,"2100 block of Trout Dr",1,0,N/A
1689794,"May 26, 2020","South Carolina",Columbia,"2000 block of Weiss Dr",1,0,N/A
1689195,"May 26, 2020",Mississippi,Meridian,"Poplar Ridge Dr",0,1,N/A
1691105,"May 26, 2020",Texas,"Fort Worth","400 block of S Edgewood Terrace",1,0,N/A
1689193,"May 26, 2020",California,Indio,"Indio Blvd and Smurr St",0,0,N/A
1690231,"May 26, 2020",Illinois,Champaign,"3200 block of Ridgewood Ave",0,1,N/A
1691069,"May 26, 2020",Alabama,Alabaster,"100 block of Grandview Ln",0,0,N/A
1701184,"May 26, 2020",Michigan,Flint,N/A,0,1,N/A
1701180,"May 26, 2020",Michigan,Flint,N/A,0,1,N/A
1693674,"May 26, 2020","New York",Buffalo,"100 block of School St",0,0,N/A
1690636,"May 26, 2020",Texas,Houston,"7101 Bellerive  Dr",0,1,N/A
1692948,"May 26, 2020",Michigan,Ypsilanti,"2000 block of Peachcrest St",0,1,N/A
1692098,"May 26, 2020",Kansas,"Garden City","700 block of E Hazel St",0,0,N/A
1688661,"May 26, 2020",Tennessee,Nashville,"3101 Dickerson Pike",0,1,N/A
1688663,"May 26, 2020",Tennessee,Nashville,"1900 block of Delta Ave",0,1,N/A
1689146,"May 26, 2020",Michigan,Detroit,"Houston Whittier St and Queen St",0,1,N/A
1689142,"May 26, 2020",Michigan,Detroit,"Dale St and Riverview St",0,0,N/A
1689140,"May 26, 2020",Michigan,Detroit,"Vaughan St and Wadsworth Ave",0,0,N/A
1688762,"May 26, 2020","New York",Tonawanda,"Morgan St and Bouck St",1,1,N/A
1703740,"May 26, 2020","New York",Bronx,"Sedgwick Ave and W 197th St",0,1,N/A
1689126,"May 26, 2020",Massachusetts,Burlington,"Sumpter Rd",0,0,N/A
1689123,"May 26, 2020",Michigan,Detroit,"100 block of Clairmount Ave",1,0,N/A
1690999,"May 26, 2020",Texas,Houston,"6814 Cloverbrook Dr",0,1,N/A
1689117,"May 26, 2020",Michigan,Detroit,"Birwood St and Schoolcraft",0,1,N/A
1689887,"May 26, 2020",Arkansas,"West Memphis","501 S Avalon St",0,1,N/A
1690100,"May 26, 2020",California,"San Joaquin","S 6th St and Nevada St",1,0,N/A
1689335,"May 26, 2020",Michigan,Lansing,"900 block of North Walnut St",1,1,N/A
1689093,"May 26, 2020",Connecticut,Waterbury,"Hill St",0,0,N/A
1689083,"May 26, 2020",Texas,Abilene,"7700 W Lake Rd",0,0,N/A
1692873,"May 26, 2020",Pennsylvania,Lansford,"600 block of E Patterson St",3,0,N/A
1689070,"May 26, 2020",Connecticut,Hartford,"Merrill St",0,1,N/A
1689067,"May 26, 2020","West Virginia",Clarksburg,"Fowler Ave",0,0,N/A
1689857,"May 26, 2020",Virginia,Franklin,"1698 Dorchester St",0,1,N/A
1692003,"May 26, 2020",Iowa,"Fort Dodge","2800 block of 10th Avenue N",0,0,N/A
1688981,"May 26, 2020","New York",Brooklyn,"235 Hoyt St",1,0,N/A
1688948,"May 26, 2020","New York",Manlius,"Wilson Dr and N Burdick St",1,0,N/A
1689970,"May 26, 2020",Wisconsin,Milwaukee,"N 22nd St and W Burleigh St",0,0,N/A
1688986,"May 26, 2020",Illinois,Kankakee,"E River St and S Greenwood Ave",0,1,N/A
1689023,"May 26, 2020",Louisiana,Shreveport,"Hollywood Ave and Broadway Ave",0,1,N/A
1689442,"May 26, 2020",Missouri,"Saint Louis (Jennings)","7300 block of Burrwood Dr",1,1,N/A
1688716,"May 26, 2020",Wisconsin,Milwaukee,"N 35th St and W Wright St",0,1,N/A
1689957,"May 26, 2020","New York","Corona (Queens)","Roosevelt Ave and College Point Blvd",0,0,N/A
1689541,"May 26, 2020",Florida,Orlando,"Fountain Coin Loop",1,0,N/A
1689927,"May 26, 2020",Tennessee,Kingsport,"1600 block of G St",0,1,N/A
